Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,File
VPSI0113,-18.68,1.68,5.38,0.26,6.42,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
VPSI0150,-19.65,1.45,2.14,0.35,4.17,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
VPSI0143,-19.9,1.61,4.6,0.32,4.97,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
VPSI0149,-19.4,1.52,4.74,0.31,4.96,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
VPSI0147,-20.91,1.18,1.87,0.28,4.22,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
VPSI0126,-23.74,0.56,-4.02,0.17,3.3,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
VPSI0146,-20.84,1.2,4.76,0.24,5.11,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
VPSI0114,-20.15,1.33,4.84,0.27,4.9,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
VPSI0104,-19.53,1.54,5.2,0.3,5.19,Squirrel hair plate 1 2023 + UO-CN-Tray 2 Part 5 - July 2023
QF7001,-22.33,42.06,9.43,8.13,5.17,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6963,-21.58,43.04,10.57,7.6,5.66,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6961,-20.2,42.78,10.93,8.27,5.18,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6978,-21.55,41.93,10.27,7.9,5.31,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF7000,-20.68,45.98,9.44,10.52,4.37,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6977,-20.71,43.72,10.49,8.55,5.11,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
QF6976,-20.93,34.08,10.94,7.59,4.49,QU39 Tray 8 + UO-CN-Tray 3-Part 1 - Oct 2023
