Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,,File
ZFA-300,-25.93,53.09,12.59,8.38,6.34,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-300,-22.24,47.3,13.28,9.3,5.09,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-032N,-21.77,44.76,12.39,9.2,4.86,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-032N,-21.15,53.8,11.06,7.98,6.74,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-032N,-22.3,52.34,12.57,7.93,6.6,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-135N,-20.92,54.69,11.3,8.66,6.31,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-135N,-20.23,54.55,11.95,7.71,7.08,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-032,-18.96,46.84,10.83,8.48,5.52,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-032,-21.45,44.3,12.13,9.39,4.72,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-157,-20.85,50.3,11.58,8.44,5.96,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-157,-21.08,48.9,11.48,9.53,5.13,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-157,-20.51,46.69,11.76,9.22,5.06,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-157,-21.95,53.34,11.23,7.43,7.18,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-157,-22.07,55.62,10.99,7.22,7.71,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-292.1,-25.82,51.49,12.14,8.3,6.21,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-292.1,-25.27,52.75,12.63,8.41,6.27,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-292.1,-25.9,54.55,12.57,7.94,6.87,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-292.1,-25.89,56.53,12.53,8.12,6.97,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-292.1,-24.32,49.24,12.78,9.01,5.46,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-396,-23.02,46.08,12.79,7.89,5.84,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-396,-22.85,50.79,12.03,7.01,7.24,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-396,-22.43,51.39,10.92,7.36,6.98,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-396,-21.65,44.43,11.61,8.87,5.01,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-368,-20.64,32.65,9.2,7.25,4.5,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-368,-20.71,30.97,9.93,6.51,4.76,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-368,-21.06,29.51,9.13,5.66,5.21,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-368,-20.85,28.27,9.02,5.61,5.04,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-368,-19.97,31.78,9.38,6.91,4.6,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-135N,-19.99,51.16,12.05,8.58,5.96,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-135N,-22.62,56.87,10.94,7.21,7.89,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-135N,-18.99,45.94,12.12,10.65,4.31,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-090,-19.3,33.93,11.24,8.01,4.23,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-090,-20.71,46.22,10.27,6.34,7.3,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-090,-20.13,28.94,11.71,5.96,4.86,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-096N,-20.03,46.45,8.11,7.24,6.41,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-096N,-20.17,54.79,8.68,7.76,7.06,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-096N,-19.85,27.16,10.36,7.15,3.8,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-368N,-19.31,26.21,9.64,6.53,4.01,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-368N,-19.87,49.59,8.19,12.4,4,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-156.5A,-19.16,12.56,7.32,3.25,3.87,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-156.6A,-20.42,17.13,6.46,4.22,4.06,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-156.7A,-19.95,20.54,7.09,4.98,4.13,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-156.8A,-19.23,23.36,6.54,5.9,3.96,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-156.4A,-20.06,28.77,8.88,3.52,8.17,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-156.1A,-19.66,19.98,7.14,4.76,4.2,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-156.2A,-18.99,18.1,6.71,4.45,4.06,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-156.3A,-20.25,18.11,7.1,4.55,3.98,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-267.1,-24.02,20.52,10.97,3.89,5.28,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-267.2,-24.3,21.92,10.57,3.67,5.97,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-090.2,-20.16,33.38,10.66,6.59,5.07,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-090.3,-18.87,27.16,12.39,6.83,3.98,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-247.2,-23.4,28.11,11.37,5.84,4.81,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
QF8702,-25.21,9.96,5.29,1.41,7.08,,Zoopsprint POM Tray 2 - Feb 2023
QF8547,-21.92,3.39,7.21,0.27,12.54,,Zoopsprint POM Tray 2 - Feb 2023
QF8706,-26.98,7.81,7.03,0.62,12.58,,Zoopsprint POM Tray 2 - Feb 2023
QF9700,-26.73,13.18,5.41,1.4,9.43,,Zoopsprint POM Tray 2 - Feb 2023
QF8734,-28.32,1.28,3.57,0.12,10.7,,Zoopsprint POM Tray 2 - Feb 2023
QF7281,-24.87,12.53,5.92,1.31,9.56,,Zoopsprint POM Tray 2 - Feb 2023
QF8522,-23.53,4.46,7.79,0.53,8.43,,Zoopsprint POM Tray 2 - Feb 2023
QF7282,-20.87,15.77,6.17,2.38,6.64,,Zoopsprint POM Tray 2 - Feb 2023
QF8511,-27.83,1.25,2.59,0.1,12.16,,Zoopsprint POM Tray 2 - Feb 2023
QF6273,-25.99,6.65,5.13,0.83,7.97,,Zoopsprint POM Tray 2 - Feb 2023
QF8546,-20.4,13.47,7.88,1.78,7.59,,Zoopsprint POM Tray 2 - Feb 2023
QF8720,-23.23,6.08,6.04,0.74,8.23,,Zoopsprint POM Tray 2 - Feb 2023
QF8510,-23.22,4.48,7.95,0.51,8.85,,Zoopsprint POM Tray 2 - Feb 2023
QF8570,-26.2,2.7,7.65,0.33,8.25,,Zoopsprint POM Tray 2 - Feb 2023
QF7294,-25.52,7.13,6.52,0.72,9.95,,Zoopsprint POM Tray 2 - Feb 2023
QF8588,-26.25,4.11,7.52,0.53,7.76,,Zoopsprint POM Tray 2 - Feb 2023
QF8568,-26.2,2.29,5.89,0.17,13.5,,Zoopsprint POM Tray 2 - Feb 2023
QF8571,-29.19,7.37,6.82,0.52,14.15,,Zoopsprint POM Tray 2 - Feb 2023
QF8589,-27.29,3.1,5.18,0.32,9.63,,Zoopsprint POM Tray 2 - Feb 2023
QF8569,-26.53,3.17,6.79,0.26,12.11,,Zoopsprint POM Tray 2 - Feb 2023
QF7293,-20.63,17.22,6.32,2.98,5.78,,Zoopsprint POM Tray 2 - Feb 2023
QF6281,-27.12,8.89,4.02,1.47,6.04,,Zoopsprint POM Tray 2 - Feb 2023
QF8724,-31.08,4.97,6.45,0.57,8.75,,Zoopsprint POM Tray 2 - Feb 2023
QF8738,-30.57,1.22,6.64,0.12,10.22,,Zoopsprint POM Tray 2 - Feb 2023
QF8600,-26.24,2.24,8.68,0.31,7.33,,Zoopsprint POM Tray 2 - Feb 2023
QF8572,-24.89,2.65,8.38,0.38,6.97,,Zoopsprint POM Tray 2 - Feb 2023
QF8584,-25.9,3.57,7.85,0.48,7.37,,Zoopsprint POM Tray 2 - Feb 2023
QF8801,-28.89,0.63,6.36,0.1,6.14,,Zoopsprint POM Tray 2 - Feb 2023
QF7802,-26.14,10.22,4.11,1.81,5.64,,Zoopsprint POM Tray 2 - Feb 2023
QF8601,-27.67,7.03,6.41,0.78,9.07,,Zoopsprint POM Tray 2 - Feb 2023
QF8585,-30.43,6.24,5.7,0.37,16.81,,Zoopsprint POM Tray 2 - Feb 2023
QF8742,-29.34,1.07,5.36,0.18,6.03,,Zoopsprint POM Tray 2 - Feb 2023
QF7801,-24.54,5.94,6.74,1.02,5.83,,Zoopsprint POM Tray 2 - Feb 2023
QF8805,-25.64,2.8,-0.69,0.46,6.08,,Zoopsprint POM Tray 2 - Feb 2023
QF8608,-24.17,1.75,5.85,0.28,6.16,,Zoopsprint POM Tray 2 - Feb 2023
QF8609,-27,3.11,0.25,0.43,7.29,,Zoopsprint POM Tray 2 - Feb 2023
QF8534-A,-23.07,8.16,3.68,1.66,4.93,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8702-A,-24.74,5.75,4.33,1.14,5.05,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8704-A,-24.75,76.41,4.94,15.43,4.95,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8738-A,-30.04,1.65,-0.3,0.24,6.94,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8535-A,-24.99,5.61,2.67,1.03,5.45,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8573-A,-27.79,2.84,1.22,0.43,6.58,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8511-A,-29.13,1.88,-4.08,0.21,9.02,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8728-A,-29.65,3.15,2.76,0.56,5.59,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8559-A,-25.15,1.5,-3.41,0.24,6.33,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8510-A,-23.87,4.68,3.38,0.76,6.17,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8700-A,-28.32,9.77,4.39,1.03,9.51,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8522-A,-24.9,1.91,4.71,0.31,6.2,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8546-A,-20.54,14.63,7.29,2.69,5.44,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8546-A,-25.46,1.85,-0.52,0.25,7.42,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8558-A,-20.01,12.84,6.83,2.86,4.49,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8706-A,-26.93,6.12,5.72,0.67,9.09,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8720-A,-24.07,3.66,4.38,0.59,6.16,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8569-A,-27.39,2.76,-6.41,0.38,7.26,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8805-A,-27.04,0.91,-3.89,0.19,4.79,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8523-A,-26.4,3.06,1.19,0.5,6.07,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8601-A,-27.77,2.54,5.56,0.35,7.25,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8742-A,-29.85,0.79,3.45,0.15,5.27,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8589-A,-27.96,1.88,1.43,0.27,7.03,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF8568-A,-28.39,1.55,-9.61,0.22,6.92,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF7281-A,-24.83,9.28,4.94,1.34,6.91,,Zoopsprint POM Tray 1 Part 1 - Feb 2023
QF7293-A,-24.04,3.65,4.79,0.67,5.42,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF7801-A,-25.79,22.5,3.69,3.55,6.35,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF6277-A,-24.85,1.84,4.94,0.24,7.64,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF7294-A,-26.68,14.76,1.49,2.84,5.2,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8603-A,-26.01,2.43,-0.4,0.33,7.41,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8605-A,-26.23,1.9,-0.41,0.26,7.28,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8607-A,-26.75,3.07,-0.92,0.33,9.17,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF6281-A,-25.48,4.37,3.28,0.73,6.01,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF6273-A,-27.2,0.6,-5.08,0.08,7.95,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8609-A,-29.16,3.27,1.55,0.61,5.37,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8600-A,-26.97,3.48,1.72,0.48,7.19,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8571-A,-28.65,3.37,3.31,0.33,10.33,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8572-A,-25.8,2.2,3.87,0.32,6.95,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8734-A,-29.27,1.56,2.59,0.22,7.11,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF7802-A,-26.05,11.79,3.31,2.36,4.99,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8584-A,-26.99,1.82,2.39,0.24,7.68,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF6277,-25.43,4.93,5.07,0.81,6.12,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8608-A,-24.37,1.72,2.89,0.34,5.1,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8724-A,-29.9,1.83,4.59,0.25,7.22,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8570-A,-26.97,2.2,4.64,0.4,5.56,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8602,-26.55,4.65,1.63,0.42,11.18,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8604,-26.57,2.99,1.9,0.3,9.95,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8704,-24.59,6.28,4.8,1.19,5.29,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8535,-24.93,5.78,7.08,0.95,6.09,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8534,-23.49,3.5,7.19,0.6,5.82,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8606,-25.81,2.35,3.2,0.36,6.56,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8558,-19.57,9.7,7.93,1.89,5.12,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8559,-23.62,4.95,11.49,0.58,8.61,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8573,-27.13,4.76,5.67,0.64,7.47,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8523,-26.71,4.92,7.96,0.58,8.42,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
QF8728,-29.53,2.21,5.33,0.33,6.77,,GLTED Seston Reweighs + Zoopsprint POM P3&4 - March 2023
