Identifier 1,cal d13C,cal %C,cal d15N,cal %N,C:N,,File
ZFA-056,-19.9,36.18,12.13,8.2,4.41,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-056,-21.2,45.6,11.68,8.23,5.54,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-056,-20.92,41.27,10.71,8.17,5.05,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-058,-19.17,37.98,13.25,7.83,4.85,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-058,-18.76,35.05,12.67,8.33,4.21,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-058,-19.15,37.99,12.37,8.18,4.65,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-154.1,-20.65,44.56,12.86,8.15,5.47,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-154.2,-20,40.07,12.1,8.4,4.77,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-154.3,-19.8,42.82,13.63,8.73,4.9,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-202,-19.97,40.78,11.59,7.73,5.27,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-166,-20.11,34.84,10.5,7.78,4.48,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-327,-22.3,23.96,12.18,5.66,4.24,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-367,-21.66,27.81,10.47,6.28,4.43,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-407,-21.47,17.29,11.39,3.6,4.8,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-090,-19.76,29.33,13.51,6.03,4.87,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-090,-20.25,60.62,13.45,11.86,5.11,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-174A,-18.47,45.45,9.13,12,3.79,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
ZFA-252.1A,-23.09,42.93,10.06,9.61,4.47,,AM Zoopsprint SS Zoops Tray 5 - Nov 2022
NL 1,-9.06,45.06,4,12.19,3.7,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
NL 2,-11.78,79.29,4.76,21.24,3.73,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
NL 3,-11.39,50.7,5.42,11.03,4.6,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
LG 1,-13.13,46.65,10.3,12.47,3.74,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
LG 2,-10.94,17.48,7.49,4.58,3.82,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
LG 3,-16.36,54,9.46,10.56,5.12,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
LB 1,-12.53,32.63,9.17,10.4,3.14,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
LB 2,-14.13,44.37,10.58,13.68,3.24,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
LB 3,-13.43,45.63,9.86,14.71,3.1,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
HL 1,-11.82,46.98,6.17,14.91,3.15,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
HL 2,-11.99,44.94,5.73,14.37,3.13,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
HL 3,-10.84,44.9,5.67,14.7,3.05,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
NU 1,-9.71,45.94,5.04,13.46,3.41,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
NU 2,-9.89,45.73,4.94,12.78,3.58,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
NU 3,-10.99,40.85,4.99,11.71,3.49,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
PA 1,-11.38,45.08,8.41,14.4,3.13,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
PA 2,-11.76,46.3,8.96,14.8,3.13,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
PA 3,-13.38,46.04,9.27,14.5,3.18,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
AN 1,-12.58,45.78,6.95,14.39,3.18,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
AN 2,-12.21,45.85,6.99,14.45,3.17,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
AN 3,-13.63,45.4,6.85,14.09,3.22,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
SR 1,-8.04,45.36,6.88,14.33,3.17,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
SR 2,-9.17,43.91,7.48,14.15,3.1,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
SR 3,-8.67,44.93,7.15,14.29,3.14,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
PB 1,-9.51,47.43,7.92,14.34,3.31,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
PB 2,-9.36,45.69,6.69,15.99,2.86,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
PB 3,-9.2,44.31,7.84,14.36,3.09,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
TA 1,-17.32,48.16,10.89,15.52,3.1,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
TA 2,-17.16,45.3,10.49,14.52,3.12,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
TA 3,-17.03,45.6,11.07,14.59,3.13,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
TO 1,-17.34,42.87,12.22,13.93,3.08,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
TO 2,-17.76,46.9,12,14.93,3.14,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
TO 3,-17.09,46.44,12.68,15.35,3.02,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
CH 1,-17.18,43.97,11.14,14.17,3.1,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
CH 2,-17.19,46.23,10.37,15.93,2.9,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
AS 1,-13.5,47.13,9.16,14.19,3.32,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
AS 2,-16.58,45.28,10.89,14.29,3.17,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
XG 1,-17.57,45.32,12.05,13.52,3.35,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
XG 2,-17.3,46.26,12.38,14.15,3.27,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
XG 3,-17.29,41.68,12.06,13.22,3.15,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
LO 1,-16.58,48.12,10.53,15.45,3.11,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF7482,-20.01,44.83,7.88,7.5,5.97,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF8210,-21.85,36.93,8.54,6.68,5.53,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF8116,-21.23,43.58,9.68,8.65,5.04,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF8108,-20.99,46.86,8.04,7.3,6.42,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF7535,-21.78,49.17,9.28,7.52,6.54,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF7554,-20.59,40.39,9.23,6.79,5.95,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF7529,-21.1,45.2,9.15,7.25,6.24,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF7522,-21.51,46.75,8.65,7.65,6.11,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF5679,-22.89,41.99,10.7,7.87,5.34,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF7544,-21.2,42.1,10.27,6.2,6.79,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF8166,-22.42,42.82,12.12,8.14,5.26,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF8201,-23.31,44.8,7.17,6.86,6.53,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF8144,-23.5,43.51,9.94,7.48,5.82,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
QF8172,-21.94,38.21,12.68,7.45,5.13,,Palau Samples Tray 1 + QU39 Tray 7 - Dec 2022
CF11161,-19.32,35.5,10.45,6.71,5.29,,AM CF Samples Tray 1 - Nov 2022
CF11148,-19.72,47.29,8.67,8.79,5.38,,AM CF Samples Tray 1 - Nov 2022
CF11143,-19.53,41.08,10.36,6.54,6.28,,AM CF Samples Tray 1 - Nov 2022
CF11274,-20,47.25,10.64,9.96,4.74,,AM CF Samples Tray 1 - Nov 2022
CF11164,-22.27,51.97,8.77,7.81,6.65,,AM CF Samples Tray 1 - Nov 2022
CF11162,-20.27,42.8,9.54,8.25,5.19,,AM CF Samples Tray 1 - Nov 2022
CF11145,-19.47,50.53,9.09,9.95,5.08,,AM CF Samples Tray 1 - Nov 2022
CF11180,-21.06,45.83,9.71,9.01,5.09,,AM CF Samples Tray 1 - Nov 2022
CF11184,-21.39,47.93,9.46,8.93,5.37,,AM CF Samples Tray 1 - Nov 2022
CF11223,-19.42,45.57,10.82,7.56,6.03,,AM CF Samples Tray 1 - Nov 2022
CF11188,-21.43,45.94,8,7.91,5.81,,AM CF Samples Tray 1 - Nov 2022
CF11179,-19.97,41.25,10.98,8.26,4.99,,AM CF Samples Tray 1 - Nov 2022
CF11151,-19.25,39.71,8.87,7.32,5.43,,AM CF Samples Tray 1 - Nov 2022
CF11261,-20.9,49.04,10.31,9,5.45,,AM CF Samples Tray 1 - Nov 2022
CF11134,-21.26,43.07,8.94,9.28,4.64,,AM CF Samples Tray 1 - Nov 2022
CF11225,-20.32,44.47,9.99,8.16,5.45,,AM CF Samples Tray 1 - Nov 2022
CF11219,-20.35,45.56,10.13,8.31,5.48,,AM CF Samples Tray 1 - Nov 2022
CF11224,-20.13,46.14,10.24,8.41,5.49,,AM CF Samples Tray 1 - Nov 2022
CF11132,-19.76,38.58,11.97,7.32,5.27,,AM CF Samples Tray 1 - Nov 2022
CF11262,-20.2,47.8,10.4,9.08,5.26,,AM CF Samples Tray 1 - Nov 2022
CF11221,-19.57,43.45,8.8,8.71,4.99,,AM CF Samples Tray 1 - Nov 2022
CF11259,-18.9,37.07,10.41,6.93,5.34,,AM CF Samples Tray 1 - Nov 2022
CF11226,-20.8,46.38,9.29,7.17,6.47,,AM CF Samples Tray 1 - Nov 2022
CF11272,-19.82,44.61,11.21,10.04,4.44,,AM CF Samples Tray 1 - Nov 2022
CF11133,-20.84,43.33,8.56,8.74,4.96,,AM CF Samples Tray 1 - Nov 2022
CF11260,-20.25,46.34,10.56,9.2,5.04,,AM CF Samples Tray 1 - Nov 2022
CF11218,-19.6,40.53,10.94,6.81,5.95,,AM CF Samples Tray 1 - Nov 2022
CF11131,-19.28,38.83,10.09,9.42,4.12,,AM CF Samples Tray 1 - Nov 2022
CF11216,-20.32,26.48,10.3,4.92,5.38,,AM CF Samples Tray 1 - Nov 2022
CF11441,-19.2,42.87,11.6,10.54,4.07,,AM CF Samples Tray 1 - Nov 2022
CF11497,-18.58,31.61,12.95,7.47,4.23,,AM CF Samples Tray 1 - Nov 2022
CF11273,-19.68,43.04,11.11,8.32,5.18,,AM CF Samples Tray 1 - Nov 2022
CF11276,-19.54,42.43,10.79,9.79,4.33,,AM CF Samples Tray 1 - Nov 2022
CF11432,-22.39,32.07,8.86,5.56,5.77,,AM CF Samples Tray 1 - Nov 2022
CF11439,-18.5,36.31,11.69,7.47,4.86,,AM CF Samples Tray 1 - Nov 2022
CF11440,-18.93,44.41,11.37,10.81,4.11,,AM CF Samples Tray 1 - Nov 2022
CF11442,-21.7,50.96,10.72,7.45,6.84,,AM CF Samples Tray 1 - Nov 2022
CF11444,-21.34,35.5,9.32,6.84,5.19,,AM CF Samples Tray 1 - Nov 2022
QF5550,-26.68,12.73,9.2,1.88,6.78,,AM CF Samples Tray 1 - Nov 2022
QF5676,-15.56,40.69,11.11,10.81,3.77,,AM CF Samples Tray 1 - Nov 2022
QF5473,-19.61,50.61,12.18,11.86,4.27,,AM CF Samples Tray 1 - Nov 2022
QF3057,-19.51,36.36,8.46,7.14,5.09,,AM CF Samples Tray 1 - Nov 2022
CF11166,-22.47,44.36,9.37,7.21,6.15,,AM CF Samples Tray 1 - Nov 2022
CF11258,-18.98,40.89,13.31,8.58,4.77,,AM CF Samples Tray 1 - Nov 2022
QT119,-17.19,3.34,8.91,0.87,3.84,,AM CF Samples Tray 1 - Nov 2022
QT143,-18.2,37.83,11.69,9.22,4.1,,AM CF Samples Tray 1 - Nov 2022
QT159,-18.97,38.49,13.14,9.27,4.15,,AM CF Samples Tray 1 - Nov 2022
QT147,-19.3,38.08,10.23,9.14,4.17,,AM CF Samples Tray 1 - Nov 2022
QT120,-18.74,28.48,12.41,6.55,4.35,,AM CF Samples Tray 1 - Nov 2022
QT261,-20.31,2.01,9.48,0.5,3.99,,AM CF Samples Tray 1 - Nov 2022
QT392,-20.45,5.2,9.95,1.43,3.64,,AM CF Samples Tray 1 - Nov 2022
QT4296,-20.29,33.33,9.36,5.84,5.7,,AM CF Samples Tray 1 - Nov 2022
CF11220,-20.37,45.86,10.05,8.61,5.33,,AM CF Samples Tray 1 - Nov 2022
CF11257,-18.18,42.84,13.29,9.71,4.41,,AM CF Samples Tray 1 - Nov 2022
CF11142,-18.73,44.08,8.39,11.94,3.69,,AM CF Samples Tray 1 - Nov 2022
CF11137,-19.44,40.6,8.78,8.28,4.9,,AM CF Samples Tray 1 - Nov 2022
CF11271,-18.9,46.75,11.8,11.36,4.11,,AM CF Samples Tray 1 - Nov 2022
CF11122,-19.09,42.88,11.27,9.78,4.38,,AM CF Samples Tray 1 - Nov 2022
CF11217,-18.39,34.5,10.39,5.66,6.1,,AM CF Samples Tray 1 - Nov 2022
QT193,-20.76,38.63,12.03,8.58,4.5,,AM CF Samples Tray 1 - Nov 2022
QT171,-20.03,28.83,10.97,5.99,4.81,,AM CF Samples Tray 1 - Nov 2022
QT156,-19.23,40.28,11.06,10.45,3.85,,AM CF Samples Tray 1 - Nov 2022
QT209,-17.42,7.82,10.8,2.21,3.54,,AM CF Samples Tray 1 - Nov 2022
QT139,-20.58,9.69,10.73,2.25,4.3,,AM CF Samples Tray 1 - Nov 2022
QT140,-18.06,10.72,10.87,2.87,3.73,,AM CF Samples Tray 1 - Nov 2022
QT185,-19.46,32.54,10.81,8.18,3.98,,AM CF Samples Tray 1 - Nov 2022
QT236,-18.2,16.59,11.97,3.88,4.27,,AM CF Samples Tray 1 - Nov 2022
QT134,-17.9,11.37,11.62,2.63,4.33,,AM CF Samples Tray 1 - Nov 2022
ZFA-090 test,-19.92,40.51,11.2,7.36,5.5,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-090 test,-19.99,42.18,10.7,7.54,5.59,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-090 test,-20.51,39.77,11.23,7.4,5.37,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-120A (test),-20.51,55.09,11.14,9.29,5.93,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-120A (test),-22.27,57.38,10.92,7.15,8.03,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-120A,-19.72,48.39,11.4,9.9,4.89,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-120A,-21.39,41.14,11.09,10.37,3.97,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-120A,-19.87,51.51,11.29,9.54,5.4,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-120A,-20.5,54.77,11.38,8.58,6.38,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-032N,-20.98,54.66,10.45,7.55,7.24,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-032N,-20.18,50.11,10.62,8.52,5.89,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-032N,-21.4,43.07,11.88,8.85,4.87,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-396,-22.15,47.86,11.47,8.12,5.9,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-396,-22.15,42.56,12.87,8.73,4.87,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-396,-23.93,48.15,12.61,7.49,6.43,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
ZFA-300,-27.24,57.44,13.35,6.47,8.87,,AM Zoopsprint SS Zoops Tray 3 - Dec 2022
